"Hand Held Trade-in Price (July) HandHeld type ","Trade-In Price Cash","Store Credit"
"Steam Deck LCD 64GB","1005","1135"
"Steam Deck LCD 256GB","1125","1270"
"Steam Deck LCD 512GB","1300","1470"
"Steam Deck OLED 512GB","1935","2180"
"Steam Deck OLED 1TB","2135","2405"
"Playstation Portal White","380","515"
"Playstation Portal Black","415","560"
